"Customer_ID","City","State_Name","Product_ID","Current_Delivering_Factory","Lots_O_Nuts","Wicked_Choccy","Sugar_Shack","Secret_Factory","The_Other_Factory","min_fact_distance","min_dist_factory","shift_reqrd","Curr_Fact_Dist"
"128055",San Francisco,California,CHO-TRI-54000,Wicked_Choccy,1108.1,3789.84,2408.4,2743.15,2902.78,1108.1,Lots_O_Nuts,"1",3789.84
"128055",San Francisco,California,CHO-SCR-58000,Lots_O_Nuts,1108.1,3789.84,2408.4,2743.15,2902.78,1108.1,Lots_O_Nuts,"0",1108.10
"138100",New York City,New York,CHO-FUD-51000,Lots_O_Nuts,3444.71,1149.76,1935.04,1388.26,1529.49,1149.76,Wicked_Choccy,"1",3444.71
"138100",New York City,New York,CHO-MIL-31000,Wicked_Choccy,3444.71,1149.76,1935.04,1388.26,1529.49,1149.76,Wicked_Choccy,"0",1149.76
"121391",San Francisco,California,CHO-MIL-31000,Wicked_Choccy,1108.1,3789.84,2408.4,2743.15,2902.78,1108.1,Lots_O_Nuts,"1",3789.84
"103982",Round Rock,Texas,CHO-SCR-58000,Lots_O_Nuts,1360.92,1581.4,1962.6,1372.17,881.296,881.296,The_Other_Factory,"1",1360.92
"103982",Round Rock,Texas,CHO-NUT-13000,Lots_O_Nuts,1360.92,1581.4,1962.6,1372.17,881.296,881.296,The_Other_Factory,"1",1360.92
"103982",Round Rock,Texas,CHO-FUD-51000,Lots_O_Nuts,1360.92,1581.4,1962.6,1372.17,881.296,881.296,The_Other_Factory,"1",1360.92
"103982",Round Rock,Texas,CHO-MIL-31000,Wicked_Choccy,1360.92,1581.4,1962.6,1372.17,881.296,881.296,The_Other_Factory,"1",1581.40
"147039",Minneapolis,Minnesota,CHO-NUT-13000,Lots_O_Nuts,2081.88,1779.81,413.441,450.353,1132.33,413.441,Sugar_Shack,"1",2081.88
"147039",Minneapolis,Minnesota,CHO-NUT-13000,Lots_O_Nuts,2081.88,1779.81,413.441,450.353,1132.33,413.441,Sugar_Shack,"1",2081.88
"158064",Los Angeles,California,CHO-MIL-31000,Wicked_Choccy,613.458,3452.01,2413.16,2560.03,2584.38,613.458,Lots_O_Nuts,"1",3452.01
"130729",Rancho Cucamonga,California,CHO-MIL-31000,Wicked_Choccy,558.377,3390.51,2359.3,2498.49,2522.27,558.377,Lots_O_Nuts,"1",3390.51
"140921",Omaha,Nebraska,CHO-TRI-54000,Wicked_Choccy,1681.7,1668.11,762.697,448.343,858.742,448.343,Secret_Factory,"1",1668.11
"140921",Omaha,Nebraska,CHO-NUT-13000,Lots_O_Nuts,1681.7,1668.11,762.697,448.343,858.742,448.343,Secret_Factory,"1",1681.70
"109939",Salem,Oregon,CHO-SCR-58000,Lots_O_Nuts,1653.51,3866.57,2070.91,2640.2,2992.02,1653.51,Lots_O_Nuts,"0",1653.51
"114503",Lebanon,Tennessee,CHO-NUT-13000,Lots_O_Nuts,2357.47,667.038,1546.72,684.657,357.865,357.865,The_Other_Factory,"1",2357.47
"126613",Mesa,Arizona,CHO-TRI-54000,Wicked_Choccy,61.8115,2870.09,2090.84,2072.16,2014.9,61.8115,Lots_O_Nuts,"1",2870.09
"131065",Atlanta,Georgia,CHO-NUT-13000,Lots_O_Nuts,2538.29,360.188,1874.72,1013.15,533.747,360.188,Wicked_Choccy,"1",2538.29
"131065",Atlanta,Georgia,CHO-SCR-58000,Lots_O_Nuts,2538.29,360.188,1874.72,1013.15,533.747,360.188,Wicked_Choccy,"1",2538.29
"131065",Atlanta,Georgia,CHO-NUT-13000,Lots_O_Nuts,2538.29,360.188,1874.72,1013.15,533.747,360.188,Wicked_Choccy,"1",2538.29
"169488",Providence,Rhode Island,CHO-MIL-31000,Wicked_Choccy,3666.59,1381.28,2059.92,1589.24,1774.55,1381.28,Wicked_Choccy,"0",1381.28
"169488",Providence,Rhode Island,CHO-TRI-54000,Wicked_Choccy,3666.59,1381.28,2059.92,1589.24,1774.55,1381.28,Wicked_Choccy,"0",1381.28
"100230",New York City,New York,CHO-NUT-13000,Lots_O_Nuts,3444.71,1149.76,1935.04,1388.26,1529.49,1149.76,Wicked_Choccy,"1",3444.71
"100230",New York City,New York,CHO-TRI-54000,Wicked_Choccy,3444.71,1149.76,1935.04,1388.26,1529.49,1149.76,Wicked_Choccy,"0",1149.76
"100230",New York City,New York,CHO-NUT-13000,Lots_O_Nuts,3444.71,1149.76,1935.04,1388.26,1529.49,1149.76,Wicked_Choccy,"1",3444.71
"155271",Middletown,Connecticut,CHO-TRI-54000,Wicked_Choccy,3561.97,1291.91,1984.06,1489.03,1667.0,1291.91,Wicked_Choccy,"0",1291.91
"121671",Springfield,Missouri,CHO-TRI-54000,Wicked_Choccy,1745.98,1252.91,1235.07,525.832,378.635,378.635,The_Other_Factory,"1",1252.91
"121671",Springfield,Missouri,CHO-SCR-58000,Lots_O_Nuts,1745.98,1252.91,1235.07,525.832,378.635,378.635,The_Other_Factory,"1",1745.98
"121671",Springfield,Missouri,CHO-NUT-13000,Lots_O_Nuts,1745.98,1252.91,1235.07,525.832,378.635,378.635,The_Other_Factory,"1",1745.98
